"id","id_satker","id_akd","date","title","description","sifat_rapat","id_jenis_agenda","id_masa_persidangan","rapat_ke","dalam_rangka","tempat","jumlah_anggota","ketua_rapat","sekretaris_rapat","hadir","penandatangan","nama_ruu","nama_ketua_rapat","nomor_ketua_rapat","jabatan_ketua_rapat","fungsi","status","user_input","tanggal_input","user_update","tanggal_update"
23219,,15.0,2025-07-02 10:00:00.000,Badan Anggaran : Rapat Panja Perumus Kesimpulan Laporan Semester I dan Prognosis Semester II APBN TA 2025 ,Pembahasan Laporan Semester I dan Prognosis Semester II APBN TA 2025,1,6.0,121.0,,,Ruang Rapat Badan Anggaran DPR RI ,,,,,,,,,,,1,khaerudin,2025-07-01 18:45:10.000,khaerudin,2025-07-01 18:45:10.000
23218,,14.0,2025-06-25 20:14:00.000,Harmonisasi RUU tentang Perubahan atas UU Nomor 8 Tahun 2019 tentang Penyelenggaraan Haji dan Umroh,Harmonisasi RUU tentang Perubahan atas UU Nomor 8 Tahun 2019 tentang Penyelenggaraan Haji dan Umroh,2,6.0,121.0,,,Hotel Aston Bekasi,,,,,,,,,,,1,lucky.risandi,2025-07-01 18:31:32.000,lucky.risandi,2025-07-01 18:31:32.000
23217,,14.0,2025-06-25 10:37:00.000,"RDP & RDPU Dalam rangka Penyusunan RUU tentang Komoditas Strategis
","RDP & RDPU dengan :

1. Gubernur Provinsi Lampung
2. Ketua Perhimpunan Pengusaha Tepung Tapioka Indonesia
Dalam rangka Penyusunan RUU tentang Komoditas Strategis",1,2.0,121.0,,,Ruang Rapat Badan Legislasi,,,,,,,,,,,1,lucky.risandi,2025-07-01 18:27:06.000,lucky.risandi,2025-07-01 18:27:06.000
23216,,30.0,2025-07-01 13:00:00.000,RDP dengan Kepala SKK dengan menghadirkan 10 KKKS terbesar,"1. Progres bauran energi pembangkit tenaga listrik
2. Realisasi dan proyeksi subsidi listrik Tahun 2025
dan Tahun 2026
3. Progres program listrik desa
4. Lain-lain",1,2.0,121.0,,,Ruang Rapat Komisi XII DPR RI,,,,,,,,,,,1,liyanti.sihombing,2025-07-01 17:48:39.000,liyanti.sihombing,2025-07-01 17:48:39.000
23215,,11.0,2025-07-02 14:00:00.000,Rapat Internal Komisi XI DPR RI,Pengambilan keputusan atas Fit and Proper Test Calon Deputi Gubernur Indonesia dan Calon anggota Dewan Komisioner Lembaga Penjamin Simpanan,3,5.0,121.0,,,"Ruang Rapat Komisi XI DPR RI, Gedung Nusantara I",,,,,,,,,,,1,rizky.putera,2025-07-01 17:29:08.000,rizky.putera,2025-07-01 17:29:08.000
23214,,11.0,2025-07-02 10:00:00.000,Komisi XI RDPU Fit and Proper Test Calon Anggota Dewan Komisioner Lembaga Penjamin Simpanan Periode 2025-2030,Fit and Proper Test Calon Anggota Dewan Komisioner Lembaga Penjamin Simpanan Periode 2025-2030,1,3.0,121.0,,,"Ruang Rapat Komisi XI DPR RI, Gedung Nusantara I",,,,,,,,,,,1,rizky.putera,2025-07-01 17:26:51.000,rizky.putera,2025-07-01 17:26:51.000
23213,,5.0,2025-07-02 10:00:00.000,"Rapat Panja SPM Jalan Tol dengan Rektor UI, Rektor UGM, Rektor ITB, Rektor Unhas dan Rektor UKS agenda membahas Pemenuhan SPM Jalan Tol",Membahas Pemenuhan SPM Jalan Tol,1,3.0,121.0,,,Ruang Rapat Komisi V DPR RI (KK V),,,,,,,,,,,1,ahmad.subchan,2025-07-01 16:47:06.000,ahmad.subchan,2025-07-01 16:47:06.000
23212,,9.0,2025-07-02 13:00:00.000,Rapat Kerja Komisi IX DPR RI dengan Menteri Ketenagakerjaan RI dan Rapat Dengar Pendapat dengan Kepala Badan Nasional Sertifikasi Profesi (BNSP).,"1. Evaluasi kebutuhan infrastruktur dan instruktur
pelatihan Balai Besar Latihan Kerja di setiap
provinsi untuk meningkatkan kompetensi dan
menghasilkan tenaga kerja yang handal dan
berdaya saing; 2. Percepatan sertifikasi kompetensi profesi untuk
tenaga kerja oleh Badan Nasional Sertifikasi
Profesi (BNSP).",1,1.0,121.0,,,Ruang Rapat Komisi IX DPR RI,,,,,,,,,,,1,iswari.damai,2025-07-01 15:58:22.000,iswari.damai,2025-07-01 15:58:22.000
23211,,9.0,2025-07-02 10:00:00.000,"Rapat Kerja Komisi IX DPR RI dengan Menteri Kesehatan RI dan Rapat Dengar Pendapat Umum dengan Majelis Disiplin Profesi (MDP), Ikatan
Dokter Indonesia (IDI) Ikatan Bidan Indonesia (IBI), dan Persatuan
Perawat Nasional Indonesia (PPNI)",Membahas penyelesaian dugaan malapraktik di fasilitas pelayanan kesehatan.,1,1.0,121.0,,,Ruang Rapat Komisi IX DPR RI,,,,,,,,,,,1,iswari.damai,2025-07-01 15:54:54.000,iswari.damai,2025-07-01 15:54:54.000
23210,,23.0,2025-07-01 11:00:00.000,"Rapat Paripurna Ke-21, Selasa 1 Juli 2025 MP IV TS 2024-2025","1. Penyampaian Keterangan Pemerintah terhadap RUU tentang Pertanggungjawaban atas pelaksanaan APBN TA 2024.
2. Tanggapan Pemerintah terhadap pandangan Fraksi atas Kerangka Ekonomi Makro (KEM) dan Pokok-pokok Kebijakan Fiskal (PPKF) RAPBN TA 2026.
3. Pendapat Fraksi-fraksi atas usul rancangan peraturan DPR RI tentang rencana strategis tahun 2025-2029, dilanjutkan dengan pengambilan keputusan.
4. Penetapan mitra kerja danantara, dilanjutkan dengan pengambilan keputusan.",1,16.0,121.0,,,Persidangan Paripurna,,,,,,,,,,,1,achmad.bahtiar,2025-07-01 14:20:06.000,achmad.bahtiar,2025-07-01 14:20:06.000
