id_akd,date,title,description,sifat_rapat,id_jenis_agenda,id_masa_persidangan,tempat,status,id
BURT,2025-07-02 10:00:00,Badan Anggaran : Rapat Panja Perumus Kesimpulan Laporan Semester I dan Prognosis Semester II APBN TA 2025 ,Pembahasan Laporan Semester I dan Prognosis Semester II APBN TA 2025,Terbuka,Seminar / Diskusi,121.0,Ruang Rapat Badan Anggaran DPR RI ,Terjadwal,23219
Badan Kehormatan,2025-06-25 20:14:00,Harmonisasi RUU tentang Perubahan atas UU Nomor 8 Tahun 2019 tentang Penyelenggaraan Haji dan Umroh,Harmonisasi RUU tentang Perubahan atas UU Nomor 8 Tahun 2019 tentang Penyelenggaraan Haji dan Umroh,Tertutup,Seminar / Diskusi,121.0,Hotel Aston Bekasi,Terjadwal,23218
Badan Kehormatan,2025-06-25 10:37:00,"RDP & RDPU Dalam rangka Penyusunan RUU tentang Komoditas Strategis
","RDP & RDPU dengan :

1. Gubernur Provinsi Lampung
2. Ketua Perhimpunan Pengusaha Tepung Tapioka Indonesia
Dalam rangka Penyusunan RUU tentang Komoditas Strategis",Terbuka,Rapat Dengar Pendapat,121.0,Ruang Rapat Badan Legislasi,Terjadwal,23217
,2025-07-01 13:00:00,RDP dengan Kepala SKK dengan menghadirkan 10 KKKS terbesar,"1. Progres bauran energi pembangkit tenaga listrik
2. Realisasi dan proyeksi subsidi listrik Tahun 2025
dan Tahun 2026
3. Progres program listrik desa
4. Lain-lain",Terbuka,Rapat Dengar Pendapat,121.0,Ruang Rapat Komisi XII DPR RI,Terjadwal,23216
Komisi XI,2025-07-02 14:00:00,Rapat Internal Komisi XI DPR RI,Pengambilan keputusan atas Fit and Proper Test Calon Deputi Gubernur Indonesia dan Calon anggota Dewan Komisioner Lembaga Penjamin Simpanan,Rahasia,Rapat Gabungan,121.0,"Ruang Rapat Komisi XI DPR RI, Gedung Nusantara I",Terjadwal,23215
Komisi XI,2025-07-02 10:00:00,Komisi XI RDPU Fit and Proper Test Calon Anggota Dewan Komisioner Lembaga Penjamin Simpanan Periode 2025-2030,Fit and Proper Test Calon Anggota Dewan Komisioner Lembaga Penjamin Simpanan Periode 2025-2030,Terbuka,Kunjungan Kerja,121.0,"Ruang Rapat Komisi XI DPR RI, Gedung Nusantara I",Terjadwal,23214
Komisi V,2025-07-02 10:00:00,"Rapat Panja SPM Jalan Tol dengan Rektor UI, Rektor UGM, Rektor ITB, Rektor Unhas dan Rektor UKS agenda membahas Pemenuhan SPM Jalan Tol",Membahas Pemenuhan SPM Jalan Tol,Terbuka,Kunjungan Kerja,121.0,Ruang Rapat Komisi V DPR RI (KK V),Terjadwal,23213
Komisi IX,2025-07-02 13:00:00,Rapat Kerja Komisi IX DPR RI dengan Menteri Ketenagakerjaan RI dan Rapat Dengar Pendapat dengan Kepala Badan Nasional Sertifikasi Profesi (BNSP).,"1. Evaluasi kebutuhan infrastruktur dan instruktur
pelatihan Balai Besar Latihan Kerja di setiap
provinsi untuk meningkatkan kompetensi dan
menghasilkan tenaga kerja yang handal dan
berdaya saing; 2. Percepatan sertifikasi kompetensi profesi untuk
tenaga kerja oleh Badan Nasional Sertifikasi
Profesi (BNSP).",Terbuka,Rapat Kerja,121.0,Ruang Rapat Komisi IX DPR RI,Terjadwal,23212
Komisi IX,2025-07-02 10:00:00,"Rapat Kerja Komisi IX DPR RI dengan Menteri Kesehatan RI dan Rapat Dengar Pendapat Umum dengan Majelis Disiplin Profesi (MDP), Ikatan
Dokter Indonesia (IDI) Ikatan Bidan Indonesia (IBI), dan Persatuan
Perawat Nasional Indonesia (PPNI)",Membahas penyelesaian dugaan malapraktik di fasilitas pelayanan kesehatan.,Terbuka,Rapat Kerja,121.0,Ruang Rapat Komisi IX DPR RI,Terjadwal,23211
,2025-07-01 11:00:00,"Rapat Paripurna Ke-21, Selasa 1 Juli 2025 MP IV TS 2024-2025","1. Penyampaian Keterangan Pemerintah terhadap RUU tentang Pertanggungjawaban atas pelaksanaan APBN TA 2024.
2. Tanggapan Pemerintah terhadap pandangan Fraksi atas Kerangka Ekonomi Makro (KEM) dan Pokok-pokok Kebijakan Fiskal (PPKF) RAPBN TA 2026.
3. Pendapat Fraksi-fraksi atas usul rancangan peraturan DPR RI tentang rencana strategis tahun 2025-2029, dilanjutkan dengan pengambilan keputusan.
4. Penetapan mitra kerja danantara, dilanjutkan dengan pengambilan keputusan.",Terbuka,Rapat Tertutup,121.0,Persidangan Paripurna,Terjadwal,23210
